order_id,order_date,ship_mode,segment,region,product_id,category,sub_category,sales,quantity,discount,profit,year,month,day,dayofweek,weekofyear,unit_price
CA-2014-167199,2014-01-06,Standard Class,Home Office,South,FUR-CH-10004063,Furniture,Chairs,2573.82,9,0.0,746.4078,2014,1,6,0,2,285.98
CA-2014-105417,2014-01-07,Standard Class,Consumer,Central,FUR-FU-10004864,Furniture,Furnishings,76.728,3,0.6,-53.7096,2014,1,7,1,2,25.575999999999997
CA-2014-149020,2014-01-10,Standard Class,Corporate,South,FUR-FU-10000965,Furniture,Furnishings,51.94,1,0.0,21.2954,2014,1,10,4,2,51.94
CA-2014-130092,2014-01-11,First Class,Consumer,East,FUR-FU-10000010,Furniture,Furnishings,9.94,2,0.0,3.0814,2014,1,11,5,2,4.97
CA-2014-109232,2014-01-13,Second Class,Consumer,South,FUR-CH-10000422,Furniture,Chairs,545.94,6,0.0,87.3504,2014,1,13,0,3,90.99000000000001
CA-2014-157147,2014-01-13,Standard Class,Consumer,West,FUR-BO-10003034,Furniture,Bookcases,333.999,3,0.15,3.9294,2014,1,13,0,3,111.33300000000001
CA-2014-149524,2014-01-14,First Class,Corporate,East,FUR-BO-10003433,Furniture,Bookcases,61.96,4,0.5,-53.2856,2014,1,14,1,3,15.49
CA-2014-115791,2014-01-16,Second Class,Consumer,East,FUR-FU-10001095,Furniture,Furnishings,127.104,6,0.2,28.5984,2014,1,16,3,3,21.184
CA-2014-146591,2014-01-19,First Class,Consumer,West,FUR-BO-10001972,Furniture,Bookcases,181.47,5,0.7,-320.597,2014,1,19,6,3,36.294
CA-2014-167927,2014-01-20,Standard Class,Consumer,Central,FUR-FU-10002918,Furniture,Furnishings,272.94,3,0.0,30.0234,2014,1,20,0,4,90.98
CA-2014-167927,2014-01-20,Standard Class,Consumer,Central,FUR-FU-10002268,Furniture,Furnishings,14.73,3,0.0,4.8609,2014,1,20,0,4,4.91
US-2014-147627,2014-01-20,Standard Class,Consumer,South,FUR-FU-10003194,Furniture,Furnishings,38.6,4,0.0,11.58,2014,1,20,0,4,9.65
CA-2014-148614,2014-01-20,Standard Class,Consumer,West,FUR-FU-10003194,Furniture,Furnishings,19.3,2,0.0,5.79,2014,1,20,0,4,9.65
US-2014-147627,2014-01-20,Standard Class,Consumer,South,FUR-CH-10002331,Furniture,Chairs,1067.94,3,0.0,224.2674,2014,1,20,0,4,355.98
CA-2014-110422,2014-01-21,Second Class,Consumer,South,FUR-FU-10001889,Furniture,Furnishings,25.248,3,0.2,4.1028,2014,1,21,1,4,8.416
CA-2014-167997,2014-01-26,First Class,Corporate,Central,FUR-BO-10004409,Furniture,Bookcases,141.96,2,0.0,39.7488,2014,1,26,6,4,70.98
US-2014-155502,2014-01-26,Standard Class,Home Office,South,FUR-FU-10001847,Furniture,Furnishings,12.42,3,0.0,4.4712,2014,1,26,6,4,4.14
US-2014-155502,2014-01-26,Standard Class,Home Office,South,FUR-FU-10004587,Furniture,Furnishings,62.82,3,0.0,30.7818,2014,1,26,6,4,20.94
US-2014-117163,2014-01-27,Standard Class,Consumer,West,FUR-TA-10003469,Furniture,Tables,333.0,3,0.2,-16.65,2014,1,27,0,5,111.0
CA-2014-115161,2014-01-31,First Class,Consumer,West,FUR-BO-10003966,Furniture,Bookcases,290.666,2,0.15,3.4196,2014,1,31,4,5,145.333
CA-2014-125759,2014-02-08,First Class,Home Office,West,FUR-FU-10002111,Furniture,Furnishings,14.56,2,0.0,5.5328,2014,2,8,5,6,7.28
CA-2014-168368,2014-02-11,Second Class,Consumer,Central,FUR-CH-10001146,Furniture,Chairs,60.89,1,0.0,15.2225,2014,2,11,1,7,60.89
CA-2014-127614,2014-02-11,Standard Class,Consumer,South,FUR-TA-10003715,Furniture,Tables,1256.22,6,0.0,75.3732,2014,2,11,1,7,209.37
CA-2014-168368,2014-02-11,Second Class,Consumer,Central,FUR-FU-10002298,Furniture,Furnishings,332.94,3,0.0,53.2704,2014,2,11,1,7,110.98
US-2014-110674,2014-02-12,Standard Class,Consumer,West,FUR-CH-10000225,Furniture,Chairs,129.568,2,0.2,-24.294,2014,2,12,2,7,64.784
US-2014-165589,2014-02-18,Same Day,Consumer,Central,FUR-FU-10002396,Furniture,Furnishings,25.16,5,0.6,-11.322,2014,2,18,1,8,5.032
CA-2014-109491,2014-02-20,Standard Class,Corporate,Central,FUR-FU-10000221,Furniture,Furnishings,20.32,4,0.0,6.9088,2014,2,20,3,8,5.08
CA-2014-168312,2014-03-01,Standard Class,Consumer,Central,FUR-TA-10001866,Furniture,Tables,376.509,3,0.3,-43.0296,2014,3,1,5,9,125.503
CA-2014-104269,2014-03-01,Second Class,Consumer,West,FUR-CH-10004063,Furniture,Chairs,457.568,2,0.2,51.4764,2014,3,1,5,9,228.784
CA-2014-113880,2014-03-01,Standard Class,Home Office,Central,FUR-CH-10000863,Furniture,Chairs,634.116,6,0.3,-172.1172,2014,3,1,5,9,105.68599999999999
CA-2014-131009,2014-03-01,Standard Class,Consumer,Central,FUR-CH-10001270,Furniture,Chairs,362.25,6,0.3,0.0,2014,3,1,5,9,60.375
CA-2014-131009,2014-03-01,Standard Class,Consumer,Central,FUR-FU-10001095,Furniture,Furnishings,63.552,6,0.6,-34.9536,2014,3,1,5,9,10.592
CA-2014-105648,2014-03-03,Standard Class,Consumer,West,FUR-TA-10002958,Furniture,Tables,626.352,3,0.2,-23.4882,2014,3,3,0,10,208.784
US-2014-127978,2014-03-03,Standard Class,Corporate,East,FUR-BO-10001972,Furniture,Bookcases,302.45,5,0.5,-199.617,2014,3,3,0,10,60.489999999999995
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,FUR-CH-10002780,Furniture,Chairs,436.704,6,0.2,21.8352,2014,3,7,4,10,72.784
CA-2014-156587,2014-03-07,First Class,Consumer,West,FUR-CH-10004477,Furniture,Chairs,48.712,1,0.2,5.4801,2014,3,7,4,10,48.712
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,FUR-CH-10004495,Furniture,Chairs,481.568,2,0.2,54.1764,2014,3,7,4,10,240.784
CA-2014-166884,2014-03-11,Second Class,Consumer,East,FUR-FU-10003981,Furniture,Furnishings,8.32,5,0.2,2.288,2014,3,11,1,11,1.6640000000000001
US-2014-125521,2014-03-14,Standard Class,Home Office,South,FUR-CH-10003379,Furniture,Chairs,1139.92,4,0.0,284.98,2014,3,14,4,11,284.98
CA-2014-149958,2014-03-15,Standard Class,Consumer,South,FUR-FU-10001756,Furniture,Furnishings,45.696,3,0.2,5.1408,2014,3,15,5,11,15.232
US-2014-148838,2014-03-17,Standard Class,Corporate,East,FUR-TA-10001950,Furniture,Tables,1071.576,4,0.4,-553.6476,2014,3,17,0,12,267.894
US-2014-148838,2014-03-17,Standard Class,Corporate,East,FUR-TA-10004175,Furniture,Tables,613.908,3,0.4,-122.7816,2014,3,17,0,12,204.636
US-2014-148838,2014-03-17,Standard Class,Corporate,East,FUR-TA-10003473,Furniture,Tables,1579.746,7,0.4,-447.5947,2014,3,17,0,12,225.67800000000003
CA-2014-111871,2014-03-18,Second Class,Home Office,West,FUR-BO-10004218,Furniture,Bookcases,1198.33,10,0.15,70.49,2014,3,18,1,12,119.833
US-2014-131275,2014-03-18,Standard Class,Home Office,West,FUR-FU-10004597,Furniture,Furnishings,111.0,2,0.0,14.43,2014,3,18,1,12,55.5
CA-2014-145317,2014-03-18,Standard Class,Home Office,South,FUR-FU-10004270,Furniture,Furnishings,30.768,2,0.2,8.0766,2014,3,18,1,12,15.384
CA-2014-145317,2014-03-18,Standard Class,Home Office,South,FUR-FU-10001986,Furniture,Furnishings,122.352,3,0.2,15.294,2014,3,18,1,12,40.784
CA-2014-103989,2014-03-19,First Class,Corporate,South,FUR-FU-10002508,Furniture,Furnishings,20.016,3,0.2,5.5044,2014,3,19,2,12,6.672
CA-2014-103989,2014-03-19,First Class,Corporate,South,FUR-FU-10003981,Furniture,Furnishings,4.992,3,0.2,1.3728,2014,3,19,2,12,1.664
US-2014-155544,2014-03-21,Standard Class,Consumer,South,FUR-CH-10000422,Furniture,Chairs,218.376,3,0.2,-10.9188,2014,3,21,4,12,72.792
US-2014-155544,2014-03-21,Standard Class,Consumer,South,FUR-FU-10001473,Furniture,Furnishings,32.952,3,0.2,6.5904,2014,3,21,4,12,10.984
CA-2014-148040,2014-03-22,Standard Class,Corporate,West,FUR-CH-10001482,Furniture,Chairs,314.352,3,0.2,-35.3646,2014,3,22,5,12,104.78399999999999
CA-2014-143637,2014-03-24,Second Class,Consumer,West,FUR-FU-10002813,Furniture,Furnishings,40.48,2,0.0,14.5728,2014,3,24,0,13,20.24
CA-2014-148586,2014-03-25,Standard Class,Consumer,East,FUR-CH-10002439,Furniture,Chairs,366.786,7,0.1,65.2064,2014,3,25,1,13,52.398
US-2014-117380,2014-03-28,Standard Class,Home Office,East,FUR-TA-10000198,Furniture,Tables,330.588,1,0.4,-143.2548,2014,3,28,4,13,330.588
US-2014-137869,2014-03-28,Standard Class,Consumer,Central,FUR-TA-10003954,Furniture,Tables,1184.72,4,0.0,106.6248,2014,3,28,4,13,296.18
CA-2014-137274,2014-03-29,Standard Class,Consumer,Central,FUR-TA-10001889,Furniture,Tables,890.841,3,0.3,-152.7156,2014,3,29,5,13,296.947
CA-2014-131247,2014-03-30,Standard Class,Consumer,West,FUR-BO-10001337,Furniture,Bookcases,205.666,2,0.15,-12.098,2014,3,30,6,13,102.833
CA-2014-162089,2014-03-30,First Class,Home Office,Central,FUR-CH-10002304,Furniture,Chairs,127.302,7,0.3,-9.093,2014,3,30,6,13,18.186
CA-2014-130428,2014-03-31,Same Day,Consumer,South,FUR-CH-10002965,Furniture,Chairs,1125.488,7,0.2,98.4802,2014,3,31,0,14,160.78400000000002
CA-2014-160276,2014-04-02,Standard Class,Corporate,South,FUR-FU-10003192,Furniture,Furnishings,177.68,2,0.0,46.1968,2014,4,2,2,14,88.84
CA-2014-133228,2014-04-04,Standard Class,Consumer,Central,FUR-FU-10004020,Furniture,Furnishings,5.47,1,0.0,2.3521,2014,4,4,4,14,5.47
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,FUR-FU-10000747,Furniture,Furnishings,91.96,2,0.0,15.6332,2014,4,6,6,14,45.98
CA-2014-169803,2014-04-06,Standard Class,Corporate,West,FUR-TA-10000688,Furniture,Tables,653.55,3,0.0,111.1035,2014,4,6,6,14,217.85
US-2014-118486,2014-04-06,First Class,Home Office,East,FUR-TA-10001039,Furniture,Tables,154.764,3,0.4,-36.1116,2014,4,6,6,14,51.588
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,FUR-FU-10001918,Furniture,Furnishings,33.11,7,0.0,12.9129,2014,4,6,6,14,4.7299999999999995
CA-2014-124023,2014-04-07,First Class,Consumer,South,FUR-FU-10004415,Furniture,Furnishings,8.96,2,0.0,2.7776,2014,4,7,0,15,4.48
CA-2014-150581,2014-04-08,Standard Class,Home Office,West,FUR-TA-10003748,Furniture,Tables,99.592,1,0.2,2.4898,2014,4,8,1,15,99.592
US-2014-118997,2014-04-08,Standard Class,Corporate,South,FUR-TA-10001086,Furniture,Tables,1215.92,8,0.0,316.1392,2014,4,8,1,15,151.99
CA-2014-121769,2014-04-08,Standard Class,Consumer,East,FUR-TA-10004442,Furniture,Tables,172.11,1,0.4,-94.6605,2014,4,8,1,15,172.11
CA-2014-154599,2014-04-12,Standard Class,Corporate,West,FUR-BO-10001337,Furniture,Bookcases,308.499,3,0.15,-18.147,2014,4,12,5,15,102.83300000000001
US-2014-120740,2014-04-15,Same Day,Home Office,West,FUR-FU-10004091,Furniture,Furnishings,187.76,4,0.0,76.9816,2014,4,15,1,16,46.94
CA-2014-100678,2014-04-18,Standard Class,Consumer,Central,FUR-CH-10002602,Furniture,Chairs,317.058,3,0.3,-18.1176,2014,4,18,4,16,105.68599999999999
CA-2014-169460,2014-04-19,Second Class,Home Office,West,FUR-FU-10004017,Furniture,Furnishings,76.14,3,0.0,26.649,2014,4,19,5,16,25.38
CA-2014-134572,2014-04-20,Second Class,Consumer,Central,FUR-TA-10001705,Furniture,Tables,744.1,5,0.3,-95.67,2014,4,20,6,16,148.82
CA-2014-134572,2014-04-20,Second Class,Consumer,Central,FUR-TA-10004442,Furniture,Tables,401.59,2,0.3,-131.951,2014,4,20,6,16,200.795
CA-2014-101462,2014-04-20,Standard Class,Consumer,West,FUR-FU-10000409,Furniture,Furnishings,59.92,4,0.0,27.5632,2014,4,20,6,16,14.98
US-2014-150119,2014-04-23,Standard Class,Home Office,East,FUR-CH-10002965,Furniture,Chairs,281.372,2,0.3,-12.0588,2014,4,23,2,17,140.686
US-2014-150119,2014-04-23,Standard Class,Home Office,East,FUR-CH-10002965,Furniture,Chairs,281.372,2,0.3,-12.0588,2014,4,23,2,17,140.686
US-2014-150119,2014-04-23,Standard Class,Home Office,East,FUR-FU-10002191,Furniture,Furnishings,22.336,4,0.2,7.8176,2014,4,23,2,17,5.584
CA-2014-166954,2014-04-25,Standard Class,Home Office,West,FUR-FU-10003708,Furniture,Furnishings,303.25,5,0.0,63.6825,2014,4,25,4,17,60.65
CA-2014-166954,2014-04-25,Standard Class,Home Office,West,FUR-CH-10003973,Furniture,Chairs,1487.04,5,0.2,148.704,2014,4,25,4,17,297.408
CA-2014-147298,2014-04-26,Standard Class,Corporate,West,FUR-CH-10004886,Furniture,Chairs,230.28,3,0.2,23.028,2014,4,26,5,17,76.76
CA-2014-142727,2014-04-29,Second Class,Consumer,South,FUR-CH-10002304,Furniture,Chairs,51.96,2,0.0,12.99,2014,4,29,1,18,25.98
CA-2014-107811,2014-04-29,Standard Class,Corporate,South,FUR-CH-10001394,Furniture,Chairs,561.584,2,0.2,70.198,2014,4,29,1,18,280.792
CA-2014-134061,2014-04-29,Standard Class,Consumer,East,FUR-FU-10001424,Furniture,Furnishings,17.46,2,0.0,5.9364,2014,4,29,1,18,8.73
CA-2014-155271,2014-05-04,Same Day,Consumer,East,FUR-FU-10001473,Furniture,Furnishings,27.46,2,0.0,9.8856,2014,5,4,6,18,13.73
US-2014-148194,2014-05-04,First Class,Corporate,West,FUR-FU-10001852,Furniture,Furnishings,12.18,7,0.0,3.8976,2014,5,4,6,18,1.74
CA-2014-110219,2014-05-05,First Class,Consumer,Central,FUR-CH-10001146,Furniture,Chairs,127.869,3,0.3,-9.1335,2014,5,5,0,19,42.623
CA-2014-166086,2014-05-07,Standard Class,Consumer,East,FUR-TA-10003469,Furniture,Tables,194.25,2,0.3,-38.85,2014,5,7,2,19,97.125
CA-2014-166086,2014-05-07,Standard Class,Consumer,East,FUR-CH-10004675,Furniture,Chairs,872.32,4,0.0,244.2496,2014,5,7,2,19,218.08
CA-2014-103310,2014-05-10,Standard Class,Consumer,West,FUR-CH-10002320,Furniture,Chairs,256.784,1,0.2,32.098,2014,5,10,5,19,256.784
CA-2014-114181,2014-05-10,Second Class,Consumer,East,FUR-BO-10004467,Furniture,Bookcases,349.965,7,0.5,-216.9783,2014,5,10,5,19,49.995
